# Функція: Вуда
Крок	x1	x2	x3	x4	f(x)
60	-0.96734333	0.94592142	-0.97014523	0.95246458	7.87696694e+00
61	-0.96734238	0.94591999	-0.97014618	0.95246601	7.87696694e+00
62	-0.96734190	0.94591856	-0.97014666	0.95246744	7.87696694e+00
63	-0.96734095	0.94591713	-0.97014761	0.95246887	7.87696694e+00
64	-0.96734047	0.94591570	-0.97014809	0.95247030	7.87696694e+00
65	-0.96733952	0.94591427	-0.97014904	0.95247173	7.87696694e+00
66	-0.96733904	0.94591284	-0.97014999	0.95247316	7.87696694e+00
67	-0.96733809	0.94591141	-0.97015047	0.95247459	7.87696694e+00
68	-0.96733761	0.94590998	-0.97015142	0.95247602	7.87696694e+00
69	-0.96733665	0.94590855	-0.97015190	0.95247746	7.87696694e+00
70	-0.96733570	0.94590712	-0.97015285	0.95247889	7.87696694e+00
71	-0.96733522	0.94590569	-0.97015333	0.95248032	7.87696693e+00
72	-0.96733427	0.94590425	-0.97015429	0.95248175	7.87696693e+00
73	-0.96733379	0.94590282	-0.97015476	0.95248318	7.87696693e+00
74	-0.96733284	0.94590139	-0.97015572	0.95248461	7.87696693e+00
75	-0.96733236	0.94589996	-0.97015667	0.95248604	7.87696693e+00
76	-0.96733141	0.94589853	-0.97015715	0.95248747	7.87696693e+00
77	-0.96733093	0.94589710	-0.97015810	0.95248890	7.87696693e+00
78	-0.96732998	0.94589567	-0.97015858	0.95249033	7.87696693e+00
79	-0.96732903	0.94589424	-0.97015953	0.95249176	7.87696693e+00
80	-0.96732855	0.94589281	-0.97016001	0.95249319	7.87696693e+00
81	-0.96732759	0.94589138	-0.97016096	0.95249462	7.87696693e+00
82	-0.96732712	0.94588995	-0.97016144	0.95249605	7.87696693e+00
83	-0.96732616	0.94588852	-0.97016239	0.95249748	7.87696693e+00
84	-0.96732569	0.94588709	-0.97016287	0.95249891	7.87696693e+00
85	-0.96732473	0.94588566	-0.97016382	0.95250034	7.87696693e+00
86	-0.96732426	0.94588423	-0.97016478	0.95250177	7.87696693e+00
87	-0.96732330	0.94588280	-0.97016525	0.95250320	7.87696693e+00
88	-0.96732235	0.94588137	-0.97016621	0.95250463	7.87696693e+00
89	-0.96732187	0.94587994	-0.97016668	0.95250607	7.87696693e+00
90	-0.96732092	0.94587851	-0.97016764	0.95250750	7.87696692e+00
91	-0.96732044	0.94587708	-0.97016811	0.95250893	7.87696692e+00
92	-0.96731949	0.94587564	-0.97016907	0.95251036	7.87696692e+00
93	-0.96731901	0.94587421	-0.97016954	0.95251179	7.87696692e+00
94	-0.96731806	0.94587278	-0.97017050	0.95251322	7.87696692e+00
95	-0.96731758	0.94587135	-0.97017145	0.95251465	7.87696692e+00
96	-0.96731663	0.94586992	-0.97017193	0.95251608	7.87696692e+00
97	-0.96731567	0.94586849	-0.97017288	0.95251751	7.87696692e+00
98	-0.96731520	0.94586706	-0.97017336	0.95251894	7.87696692e+00
99	-0.96731424	0.94586563	-0.97017431	0.95252037	7.87696692e+00
100	-0.96731377	0.94586420	-0.97017479	0.95252180	7.87696692e+00
101	-0.96731281	0.94586277	-0.97017574	0.95252323	7.87696692e+00
102	-0.96731234	0.94586134	-0.97017622	0.95252466	7.87696692e+00
103	-0.96731138	0.94585991	-0.97017717	0.95252609	7.87696692e+00
104	-0.96731091	0.94585848	-0.97017765	0.95252752	7.87696692e+00
105	-0.96730995	0.94585705	-0.97017860	0.95252895	7.87696692e+00
106	-0.96730900	0.94585562	-0.97017956	0.95253038	7.87696692e+00
107	-0.96730852	0.94585419	-0.97018003	0.95253181	7.87696692e+00
108	-0.96730757	0.94585276	-0.97018099	0.95253325	7.87696691e+00
109	-0.96730709	0.94585133	-0.97018147	0.95253468	7.87696691e+00
110	-0.96730614	0.94584990	-0.97018242	0.95253611	7.87696691e+00
111	-0.96730566	0.94584846	-0.97018290	0.95253754	7.87696691e+00
112	-0.96730471	0.94584703	-0.97018385	0.95253897	7.87696691e+00
113	-0.96730423	0.94584560	-0.97018433	0.95254040	7.87696691e+00
114	-0.96730328	0.94584417	-0.97018528	0.95254183	7.87696691e+00
115	-0.96730232	0.94584274	-0.97018623	0.95254326	7.87696691e+00
116	-0.96730185	0.94584131	-0.97018671	0.95254469	7.87696691e+00
117	-0.96730089	0.94583988	-0.97018766	0.95254612	7.87696691e+00
118	-0.96730042	0.94583845	-0.97018814	0.95254755	7.87696691e+00
119	-0.96729946	0.94583702	-0.97018909	0.95254898	7.87696691e+00
120	-0.96729898	0.94583559	-0.97018957	0.95255041	7.87696691e+00
121	-0.96729803	0.94583416	-0.97019053	0.95255184	7.87696691e+00
122	-0.96729755	0.94583273	-0.97019100	0.95255327	7.87696691e+00
123	-0.96729660	0.94583130	-0.97019196	0.95255470	7.87696691e+00
124	-0.96729612	0.94582987	-0.97019291	0.95255613	7.87696691e+00
125	-0.96729517	0.94582844	-0.97019339	0.95255756	7.87696691e+00
126	-0.96729422	0.94582701	-0.97019434	0.95255899	7.87696690e+00
127	-0.96729374	0.94582558	-0.97019482	0.95256042	7.87696690e+00
128	-0.96729279	0.94582415	-0.97019577	0.95256186	7.87696690e+00
129	-0.96729231	0.94582272	-0.97019625	0.95256329	7.87696690e+00
130	-0.96729136	0.94582129	-0.97019720	0.95256472	7.87696690e+00
131	-0.96729088	0.94581985	-0.97019768	0.95256615	7.87696690e+00
132	-0.96728992	0.94581842	-0.97019863	0.95256758	7.87696690e+00
133	-0.96728945	0.94581699	-0.97019911	0.95256901	7.87696690e+00
134	-0.96728849	0.94581556	-0.97020006	0.95257044	7.87696690e+00
135	-0.96728754	0.94581413	-0.97020102	0.95257187	7.87696690e+00
136	-0.96728706	0.94581270	-0.97020149	0.95257330	7.87696690e+00
137	-0.96728611	0.94581127	-0.97020245	0.95257473	7.87696690e+00
138	-0.96728563	0.94580984	-0.97020292	0.95257616	7.87696690e+00
139	-0.96728468	0.94580841	-0.97020388	0.95257759	7.87696690e+00
140	-0.96728420	0.94580698	-0.97020435	0.95257902	7.87696690e+00
141	-0.96728325	0.94580555	-0.97020531	0.95258045	7.87696690e+00
142	-0.96728277	0.94580412	-0.97020578	0.95258188	7.87696690e+00
143	-0.96728182	0.94580269	-0.97020674	0.95258331	7.87696689e+00
144	-0.96728086	0.94580126	-0.97020769	0.95258474	7.87696689e+00
145	-0.96728039	0.94579983	-0.97020817	0.95258617	7.87696689e+00
146	-0.96727943	0.94579840	-0.97020912	0.95258760	7.87696689e+00
147	-0.96727896	0.94579697	-0.97020960	0.95258904	7.87696689e+00
148	-0.96727800	0.94579554	-0.97021055	0.95259047	7.87696689e+00
149	-0.96727753	0.94579411	-0.97021103	0.95259190	7.87696689e+00
150	-0.96727657	0.94579268	-0.97021198	0.95259333	7.87696689e+00
151	-0.96727610	0.94579124	-0.97021246	0.95259476	7.87696689e+00
152	-0.96727514	0.94578981	-0.97021341	0.95259619	7.87696689e+00
153	-0.96727419	0.94578838	-0.97021389	0.95259762	7.87696689e+00
154	-0.96727371	0.94578695	-0.97021484	0.95259905	7.87696689e+00
155	-0.96727276	0.94578552	-0.97021580	0.95260048	7.87696689e+00
156	-0.96727228	0.94578409	-0.97021627	0.95260191	7.87696689e+00
157	-0.96727133	0.94578266	-0.97021723	0.95260334	7.87696689e+00
158	-0.96727085	0.94578123	-0.97021770	0.95260477	7.87696689e+00
159	-0.96726990	0.94577980	-0.97021866	0.95260620	7.87696689e+00
160	-0.96726942	0.94577837	-0.97021914	0.95260763	7.87696688e+00
161	-0.96726847	0.94577694	-0.97022009	0.95260906	7.87696688e+00
162	-0.96726751	0.94577551	-0.97022057	0.95261049	7.87696688e+00
163	-0.96726704	0.94577408	-0.97022152	0.95261192	7.87696688e+00
164	-0.96726608	0.94577265	-0.97022247	0.95261335	7.87696688e+00
165	-0.96726561	0.94577122	-0.97022295	0.95261478	7.87696688e+00
166	-0.96726465	0.94576979	-0.97022390	0.95261621	7.87696688e+00
167	-0.96726418	0.94576836	-0.97022438	0.95261765	7.87696688e+00
168	-0.96726322	0.94576693	-0.97022533	0.95261908	7.87696688e+00
169	-0.96726274	0.94576550	-0.97022581	0.95262051	7.87696688e+00
170	-0.96726179	0.94576406	-0.97022676	0.95262194	7.87696688e+00
171	-0.96726084	0.94576263	-0.97022724	0.95262337	7.87696688e+00
172	-0.96726036	0.94576120	-0.97022820	0.95262480	7.87696688e+00
173	-0.96725941	0.94575977	-0.97022915	0.95262623	7.87696688e+00
174	-0.96725893	0.94575834	-0.97022963	0.95262766	7.87696688e+00
175	-0.96725798	0.94575691	-0.97023058	0.95262909	7.87696688e+00
176	-0.96725750	0.94575548	-0.97023106	0.95263052	7.87696688e+00
177	-0.96725655	0.94575405	-0.97023201	0.95263195	7.87696687e+00
178	-0.96725607	0.94575262	-0.97023249	0.95263338	7.87696687e+00
179	-0.96725512	0.94575119	-0.97023344	0.95263481	7.87696687e+00
180	-0.96725416	0.94574976	-0.97023392	0.95263624	7.87696687e+00
181	-0.96725368	0.94574833	-0.97023487	0.95263767	7.87696687e+00
182	-0.96725273	0.94574690	-0.97023535	0.95263910	7.87696687e+00
183	-0.96725225	0.94574547	-0.97023630	0.95264053	7.87696687e+00
184	-0.96725130	0.94574404	-0.97023726	0.95264196	7.87696687e+00
185	-0.96725082	0.94574261	-0.97023773	0.95264339	7.87696687e+00
186	-0.96724987	0.94574118	-0.97023869	0.95264482	7.87696687e+00
187	-0.96724939	0.94573975	-0.97023916	0.95264626	7.87696687e+00
188	-0.96724844	0.94573832	-0.97024012	0.95264769	7.87696687e+00
189	-0.96724749	0.94573689	-0.97024059	0.95264912	7.87696687e+00
190	-0.96724701	0.94573545	-0.97024155	0.95265055	7.87696687e+00
191	-0.96724606	0.94573402	-0.97024202	0.95265198	7.87696687e+00
192	-0.96724558	0.94573259	-0.97024298	0.95265341	7.87696687e+00
193	-0.96724463	0.94573116	-0.97024393	0.95265484	7.87696686e+00
194	-0.96724415	0.94572973	-0.97024441	0.95265627	7.87696686e+00
195	-0.96724319	0.94572830	-0.97024536	0.95265770	7.87696686e+00
196	-0.96724272	0.94572687	-0.97024584	0.95265913	7.87696686e+00
197	-0.96724176	0.94572544	-0.97024679	0.95266056	7.87696686e+00
198	-0.96724081	0.94572401	-0.97024727	0.95266199	7.87696686e+00
199	-0.96724033	0.94572258	-0.97024822	0.95266342	7.87696686e+00
200	-0.96723938	0.94572115	-0.97024870	0.95266485	7.87696686e+00
201	-0.96723890	0.94571972	-0.97024965	0.95266628	7.87696686e+00
202	-0.96723795	0.94571829	-0.97025013	0.95266771	7.87696686e+00
203	-0.96723747	0.94571686	-0.97025108	0.95266914	7.87696686e+00
204	-0.96723652	0.94571543	-0.97025204	0.95267057	7.87696686e+00
205	-0.96723604	0.94571400	-0.97025251	0.95267200	7.87696686e+00
206	-0.96723509	0.94571257	-0.97025347	0.95267344	7.87696686e+00
207	-0.96723413	0.94571114	-0.97025394	0.95267487	7.87696686e+00
208	-0.96723366	0.94570971	-0.97025490	0.95267630	7.87696686e+00
209	-0.96723270	0.94570827	-0.97025537	0.95267773	7.87696686e+00
210	-0.96723223	0.94570684	-0.97025633	0.95267916	7.87696685e+00
211	-0.96723127	0.94570541	-0.97025681	0.95268059	7.87696685e+00
212	-0.96723080	0.94570398	-0.97025776	0.95268202	7.87696685e+00
213	-0.96722984	0.94570255	-0.97025871	0.95268345	7.87696685e+00
214	-0.96722937	0.94570112	-0.97025919	0.95268488	7.87696685e+00
215	-0.96722841	0.94569969	-0.97026014	0.95268631	7.87696685e+00
216	-0.96722746	0.94569826	-0.97026062	0.95268774	7.87696685e+00
217	-0.96722698	0.94569683	-0.97026157	0.95268917	7.87696685e+00
218	-0.96722603	0.94569540	-0.97026205	0.95269060	7.87696685e+00
219	-0.96722555	0.94569397	-0.97026300	0.95269203	7.87696685e+00
220	-0.96722460	0.94569254	-0.97026348	0.95269346	7.87696685e+00
221	-0.96722412	0.94569111	-0.97026443	0.95269489	7.87696685e+00
222	-0.96722317	0.94568968	-0.97026491	0.95269632	7.87696685e+00
223	-0.96722269	0.94568825	-0.97026587	0.95269775	7.87696685e+00
224	-0.96722174	0.94568682	-0.97026682	0.95269918	7.87696685e+00
225	-0.96722078	0.94568539	-0.97026730	0.95270061	7.87696685e+00
226	-0.96722031	0.94568396	-0.97026825	0.95270205	7.87696684e+00
227	-0.96721935	0.94568253	-0.97026873	0.95270348	7.87696684e+00
228	-0.96721888	0.94568110	-0.97026968	0.95270491	7.87696684e+00
229	-0.96721792	0.94567966	-0.97027016	0.95270634	7.87696684e+00
230	-0.96721745	0.94567823	-0.97027111	0.95270777	7.87696684e+00
231	-0.96721649	0.94567680	-0.97027159	0.95270920	7.87696684e+00
232	-0.96721601	0.94567537	-0.97027254	0.95271063	7.87696684e+00
233	-0.96721506	0.94567394	-0.97027349	0.95271206	7.87696684e+00
234	-0.96721411	0.94567251	-0.97027397	0.95271349	7.87696684e+00
235	-0.96721363	0.94567108	-0.97027493	0.95271492	7.87696684e+00
236	-0.96721268	0.94566965	-0.97027540	0.95271635	7.87696684e+00
237	-0.96721220	0.94566822	-0.97027636	0.95271778	7.87696684e+00
238	-0.96721125	0.94566679	-0.97027683	0.95271921	7.87696684e+00
239	-0.96721077	0.94566536	-0.97027779	0.95272064	7.87696684e+00
240	-0.96720982	0.94566393	-0.97027826	0.95272207	7.87696684e+00
241	-0.96720934	0.94566250	-0.97027922	0.95272350	7.87696683e+00
242	-0.96720839	0.94566107	-0.97027969	0.95272493	7.87696683e+00
243	-0.96720743	0.94565964	-0.97028065	0.95272636	7.87696683e+00
244	-0.96720695	0.94565821	-0.97028160	0.95272779	7.87696683e+00
245	-0.96720600	0.94565678	-0.97028208	0.95272923	7.87696683e+00
246	-0.96720552	0.94565535	-0.97028303	0.95273066	7.87696683e+00
247	-0.96720457	0.94565392	-0.97028351	0.95273209	7.87696683e+00
248	-0.96720409	0.94565248	-0.97028446	0.95273352	7.87696683e+00
249	-0.96720314	0.94565105	-0.97028494	0.95273495	7.87696683e+00
250	-0.96720266	0.94564962	-0.97028589	0.95273638	7.87696683e+00
251	-0.96720171	0.94564819	-0.97028637	0.95273781	7.87696683e+00
252	-0.96720076	0.94564676	-0.97028732	0.95273924	7.87696683e+00
253	-0.96720028	0.94564533	-0.97028828	0.95274067	7.87696683e+00
254	-0.96719933	0.94564390	-0.97028875	0.95274210	7.87696683e+00
255	-0.96719885	0.94564247	-0.97028971	0.95274353	7.87696683e+00
256	-0.96719790	0.94564104	-0.97029018	0.95274496	7.87696683e+00
257	-0.96719742	0.94563961	-0.97029114	0.95274639	7.87696682e+00
258	-0.96719646	0.94563818	-0.97029161	0.95274782	7.87696682e+00
259	-0.96719599	0.94563675	-0.97029257	0.95274925	7.87696682e+00
260	-0.96719503	0.94563532	-0.97029305	0.95275068	7.87696682e+00
261	-0.96719408	0.94563389	-0.97029400	0.95275211	7.87696682e+00
262	-0.96719360	0.94563246	-0.97029495	0.95275354	7.87696682e+00
263	-0.96719265	0.94563103	-0.97029543	0.95275497	7.87696682e+00
264	-0.96719217	0.94562960	-0.97029638	0.95275640	7.87696682e+00
265	-0.96719122	0.94562817	-0.97029686	0.95275784	7.87696682e+00
266	-0.96719074	0.94562674	-0.97029781	0.95275927	7.87696682e+00
267	-0.96718979	0.94562531	-0.97029829	0.95276070	7.87696682e+00
268	-0.96718931	0.94562387	-0.97029924	0.95276213	7.87696682e+00
269	-0.96718836	0.94562244	-0.97029972	0.95276356	7.87696682e+00
270	-0.96718740	0.94562101	-0.97030067	0.95276499	7.87696682e+00
271	-0.96718693	0.94561958	-0.97030115	0.95276642	7.87696682e+00
272	-0.96718597	0.94561815	-0.97030210	0.95276785	7.87696681e+00
273	-0.96718550	0.94561672	-0.97030306	0.95276928	7.87696681e+00
274	-0.96718454	0.94561529	-0.97030354	0.95277071	7.87696681e+00
275	-0.96718407	0.94561386	-0.97030449	0.95277214	7.87696681e+00
276	-0.96718311	0.94561243	-0.97030497	0.95277357	7.87696681e+00
277	-0.96718264	0.94561100	-0.97030592	0.95277500	7.87696681e+00
278	-0.96718168	0.94560957	-0.97030640	0.95277643	7.87696681e+00
279	-0.96718073	0.94560814	-0.97030735	0.95277786	7.87696681e+00
280	-0.96718025	0.94560671	-0.97030783	0.95277929	7.87696681e+00
281	-0.96717930	0.94560528	-0.97030878	0.95278072	7.87696681e+00
282	-0.96717882	0.94560385	-0.97030973	0.95278215	7.87696681e+00
283	-0.96717787	0.94560242	-0.97031021	0.95278358	7.87696681e+00
284	-0.96717739	0.94560099	-0.97031116	0.95278502	7.87696681e+00
285	-0.96717644	0.94559956	-0.97031164	0.95278645	7.87696681e+00
286	-0.96717596	0.94559813	-0.97031260	0.95278788	7.87696681e+00
287	-0.96717501	0.94559669	-0.97031307	0.95278931	7.87696680e+00
288	-0.96717405	0.94559526	-0.97031403	0.95279074	7.87696680e+00
289	-0.96717358	0.94559383	-0.97031450	0.95279217	7.87696680e+00
290	-0.96717262	0.94559240	-0.97031546	0.95279360	7.87696680e+00
291	-0.96717215	0.94559097	-0.97031593	0.95279503	7.87696680e+00
292	-0.96717119	0.94558954	-0.97031689	0.95279646	7.87696680e+00
293	-0.96717072	0.94558811	-0.97031784	0.95279789	7.87696680e+00
294	-0.96716976	0.94558668	-0.97031832	0.95279932	7.87696680e+00
295	-0.96716928	0.94558525	-0.97031927	0.95280075	7.87696680e+00
296	-0.96716833	0.94558382	-0.97031975	0.95280218	7.87696680e+00
297	-0.96716738	0.94558239	-0.97032070	0.95280361	7.87696680e+00
298	-0.96716690	0.94558096	-0.97032118	0.95280504	7.87696680e+00
299	-0.96716595	0.94557953	-0.97032213	0.95280647	7.87696680e+00
300	-0.96716547	0.94557810	-0.97032261	0.95280790	7.87696680e+00
301	-0.96716452	0.94557667	-0.97032356	0.95280933	7.87696680e+00
302	-0.96716404	0.94557524	-0.97032452	0.95281076	7.87696679e+00
303	-0.96716309	0.94557381	-0.97032499	0.95281219	7.87696679e+00
304	-0.96716261	0.94557238	-0.97032595	0.95281363	7.87696679e+00
305	-0.96716166	0.94557095	-0.97032642	0.95281506	7.87696679e+00
306	-0.96716070	0.94556952	-0.97032738	0.95281649	7.87696679e+00
307	-0.96716022	0.94556808	-0.97032785	0.95281792	7.87696679e+00
308	-0.96715927	0.94556665	-0.97032881	0.95281935	7.87696679e+00
309	-0.96715879	0.94556522	-0.97032928	0.95282078	7.87696679e+00
310	-0.96715784	0.94556379	-0.97033024	0.95282221	7.87696679e+00
311	-0.96715736	0.94556236	-0.97033072	0.95282364	7.87696679e+00
312	-0.96715641	0.94556093	-0.97033167	0.95282507	7.87696679e+00
313	-0.96715593	0.94555950	-0.97033262	0.95282650	7.87696679e+00
314	-0.96715498	0.94555807	-0.97033310	0.95282793	7.87696679e+00
315	-0.96715403	0.94555664	-0.97033405	0.95282936	7.87696679e+00
316	-0.96715355	0.94555521	-0.97033453	0.95283079	7.87696679e+00
317	-0.96715260	0.94555378	-0.97033548	0.95283222	7.87696678e+00
318	-0.96715212	0.94555235	-0.97033596	0.95283365	7.87696678e+00
319	-0.96715117	0.94555092	-0.97033691	0.95283508	7.87696678e+00
320	-0.96715069	0.94554949	-0.97033739	0.95283651	7.87696678e+00
321	-0.96714973	0.94554806	-0.97033834	0.95283794	7.87696678e+00
322	-0.96714926	0.94554663	-0.97033930	0.95283937	7.87696678e+00
323	-0.96714830	0.94554520	-0.97033978	0.95284081	7.87696678e+00
324	-0.96714735	0.94554377	-0.97034073	0.95284224	7.87696678e+00
325	-0.96714687	0.94554234	-0.97034121	0.95284367	7.87696678e+00
326	-0.96714592	0.94554090	-0.97034216	0.95284510	7.87696678e+00
327	-0.96714544	0.94553947	-0.97034264	0.95284653	7.87696678e+00
328	-0.96714449	0.94553804	-0.97034359	0.95284796	7.87696678e+00
329	-0.96714401	0.94553661	-0.97034407	0.95284939	7.87696678e+00
330	-0.96714306	0.94553518	-0.97034502	0.95285082	7.87696678e+00
331	-0.96714258	0.94553375	-0.97034597	0.95285225	7.87696677e+00
332	-0.96714163	0.94553232	-0.97034645	0.95285368	7.87696677e+00
333	-0.96714067	0.94553089	-0.97034740	0.95285511	7.87696677e+00
334	-0.96714020	0.94552946	-0.97034788	0.95285654	7.87696677e+00
335	-0.96713924	0.94552803	-0.97034883	0.95285797	7.87696677e+00
336	-0.96713877	0.94552660	-0.97034931	0.95285940	7.87696677e+00
337	-0.96713781	0.94552517	-0.97035027	0.95286083	7.87696677e+00
338	-0.96713734	0.94552374	-0.97035074	0.95286226	7.87696677e+00
339	-0.96713638	0.94552231	-0.97035170	0.95286369	7.87696677e+00
340	-0.96713591	0.94552088	-0.97035217	0.95286512	7.87696677e+00
341	-0.96713495	0.94551945	-0.97035313	0.95286655	7.87696677e+00
342	-0.96713400	0.94551802	-0.97035408	0.95286798	7.87696677e+00
343	-0.96713352	0.94551659	-0.97035456	0.95286942	7.87696677e+00
344	-0.96713257	0.94551516	-0.97035551	0.95287085	7.87696677e+00
345	-0.96713209	0.94551373	-0.97035599	0.95287228	7.87696677e+00
346	-0.96713114	0.94551229	-0.97035694	0.95287371	7.87696676e+00
347	-0.96713066	0.94551086	-0.97035742	0.95287514	7.87696676e+00
348	-0.96712971	0.94550943	-0.97035837	0.95287657	7.87696676e+00
349	-0.96712923	0.94550800	-0.97035885	0.95287800	7.87696676e+00
350	-0.96712828	0.94550657	-0.97035980	0.95287943	7.87696676e+00
351	-0.96712732	0.94550514	-0.97036076	0.95288086	7.87696676e+00
352	-0.96712685	0.94550371	-0.97036123	0.95288229	7.87696676e+00
353	-0.96712589	0.94550228	-0.97036219	0.95288372	7.87696676e+00
354	-0.96712542	0.94550085	-0.97036266	0.95288515	7.87696676e+00
355	-0.96712446	0.94549942	-0.97036362	0.95288658	7.87696676e+00
356	-0.96712399	0.94549799	-0.97036409	0.95288801	7.87696676e+00
357	-0.96712303	0.94549656	-0.97036505	0.95288944	7.87696676e+00
358	-0.96712255	0.94549513	-0.97036552	0.95289087	7.87696676e+00
359	-0.96712160	0.94549370	-0.97036648	0.95289230	7.87696676e+00
360	-0.96712065	0.94549227	-0.97036695	0.95289373	7.87696675e+00
361	-0.96712017	0.94549084	-0.97036791	0.95289516	7.87696675e+00
362	-0.96711922	0.94548941	-0.97036886	0.95289660	7.87696675e+00
363	-0.96711874	0.94548798	-0.97036934	0.95289803	7.87696675e+00
364	-0.96711779	0.94548655	-0.97037029	0.95289946	7.87696675e+00
365	-0.96711731	0.94548512	-0.97037077	0.95290089	7.87696675e+00
366	-0.96711636	0.94548368	-0.97037172	0.95290232	7.87696675e+00
367	-0.96711588	0.94548225	-0.97037220	0.95290375	7.87696675e+00
368	-0.96711493	0.94548082	-0.97037315	0.95290518	7.87696675e+00
369	-0.96711397	0.94547939	-0.97037363	0.95290661	7.87696675e+00
370	-0.96711349	0.94547796	-0.97037458	0.95290804	7.87696675e+00
371	-0.96711254	0.94547653	-0.97037554	0.95290947	7.87696675e+00
372	-0.96711206	0.94547510	-0.97037601	0.95291090	7.87696675e+00
373	-0.96711111	0.94547367	-0.97037697	0.95291233	7.87696674e+00
374	-0.96711063	0.94547224	-0.97037745	0.95291376	7.87696674e+00
375	-0.96710968	0.94547081	-0.97037840	0.95291519	7.87696674e+00
